running on Julia 1.8.5 (8 Threads)
simulation_pattern: 10800
file_name: data/20230324_103925/7.csv
file_name: data/20230324_103925/25.csv
file_name: data/20230324_103925/1.csv
file_name: data/20230324_103925/19.csv
file_name: data/20230324_103925/37.csv
file_name: data/20230324_103925/13.csv
file_name: data/20230324_103925/43.csv
file_name: data/20230324_103925/31.csv
10:45:14 data/20230324_103925/43.csv 0.9259259259259258%
10:45:42 data/20230324_103925/7.csv 0.9259259259259258%
10:46:24 data/20230324_103925/1.csv 0.9259259259259258%
10:46:34 data/20230324_103925/37.csv 0.9259259259259258%
10:49:21 data/20230324_103925/13.csv 0.9259259259259258%
10:50:21 data/20230324_103925/19.csv 0.9259259259259258%
10:50:56 data/20230324_103925/25.csv 0.9259259259259258%
10:51:40 data/20230324_103925/31.csv 0.9259259259259258%
10:52:00 data/20230324_103925/37.csv 1.8518518518518516%
10:54:00 data/20230324_103925/1.csv 1.8518518518518516%
10:54:35 data/20230324_103925/13.csv 1.8518518518518516%
10:55:31 data/20230324_103925/43.csv 1.8518518518518516%
10:57:13 data/20230324_103925/25.csv 1.8518518518518516%
10:57:39 data/20230324_103925/7.csv 1.8518518518518516%
11:00:26 data/20230324_103925/1.csv 2.7777777777777777%
11:00:41 data/20230324_103925/19.csv 1.8518518518518516%
11:03:36 data/20230324_103925/37.csv 2.7777777777777777%
11:03:52 data/20230324_103925/13.csv 2.7777777777777777%
11:04:18 data/20230324_103925/31.csv 1.8518518518518516%
11:05:59 data/20230324_103925/7.csv 2.7777777777777777%
11:07:12 data/20230324_103925/1.csv 3.7037037037037033%
11:08:46 data/20230324_103925/25.csv 2.7777777777777777%
11:09:20 data/20230324_103925/19.csv 2.7777777777777777%
11:11:17 data/20230324_103925/37.csv 3.7037037037037033%
11:11:37 data/20230324_103925/43.csv 2.7777777777777777%
11:11:42 data/20230324_103925/7.csv 3.7037037037037033%
11:12:12 data/20230324_103925/31.csv 2.7777777777777777%
11:13:11 data/20230324_103925/13.csv 3.7037037037037033%
11:14:20 data/20230324_103925/25.csv 3.7037037037037033%
11:15:09 data/20230324_103925/1.csv 4.62962962962963%
11:15:18 data/20230324_103925/19.csv 3.7037037037037033%
11:17:42 data/20230324_103925/7.csv 4.62962962962963%
11:19:15 data/20230324_103925/37.csv 4.62962962962963%
11:19:15 data/20230324_103925/31.csv 3.7037037037037033%
11:20:04 data/20230324_103925/13.csv 4.62962962962963%
11:21:34 data/20230324_103925/25.csv 4.62962962962963%
11:22:35 data/20230324_103925/1.csv 5.555555555555555%
11:23:04 data/20230324_103925/43.csv 3.7037037037037033%
11:24:24 data/20230324_103925/19.csv 4.62962962962963%
11:25:53 data/20230324_103925/37.csv 5.555555555555555%
11:26:25 data/20230324_103925/7.csv 5.555555555555555%
11:27:00 data/20230324_103925/31.csv 4.62962962962963%
11:27:54 data/20230324_103925/43.csv 4.62962962962963%
11:29:19 data/20230324_103925/25.csv 5.555555555555555%
11:31:03 data/20230324_103925/13.csv 5.555555555555555%
11:31:04 data/20230324_103925/1.csv 6.481481481481481%
11:32:03 data/20230324_103925/31.csv 5.555555555555555%
11:33:12 data/20230324_103925/43.csv 5.555555555555555%
11:33:50 data/20230324_103925/37.csv 6.481481481481481%
11:34:09 data/20230324_103925/7.csv 6.481481481481481%
11:34:20 data/20230324_103925/25.csv 6.481481481481481%
11:34:28 data/20230324_103925/19.csv 5.555555555555555%
11:37:27 data/20230324_103925/1.csv 7.4074074074074066%
11:38:34 data/20230324_103925/31.csv 6.481481481481481%
11:39:38 data/20230324_103925/7.csv 7.4074074074074066%
11:39:42 data/20230324_103925/13.csv 6.481481481481481%
11:41:15 data/20230324_103925/19.csv 6.481481481481481%
11:42:12 data/20230324_103925/25.csv 7.4074074074074066%
11:43:34 data/20230324_103925/7.csv 8.333333333333332%
11:43:45 data/20230324_103925/1.csv 8.333333333333332%
11:45:00 data/20230324_103925/19.csv 7.4074074074074066%
11:46:11 data/20230324_103925/31.csv 7.4074074074074066%
11:46:46 data/20230324_103925/43.csv 6.481481481481481%
11:47:09 data/20230324_103925/37.csv 7.4074074074074066%
11:47:50 data/20230324_103925/13.csv 7.4074074074074066%
11:48:05 data/20230324_103925/7.csv 9.25925925925926%
11:50:19 data/20230324_103925/31.csv 8.333333333333332%
11:51:11 data/20230324_103925/1.csv 9.25925925925926%
11:51:53 data/20230324_103925/19.csv 8.333333333333332%
11:52:33 data/20230324_103925/25.csv 8.333333333333332%
11:53:08 data/20230324_103925/13.csv 8.333333333333332%
