network_type,T,S,f_c
scale_free_random,1.5,0.75,0.9703555769230771
scale_free_random,1.5,1.0,0.9877246153846154
scale_free_random,1.75,-1.0,0.0
scale_free_random,1.75,-0.75,0.0
scale_free_random,1.75,-0.5,0.0
scale_free_random,1.75,-0.25,0.0
scale_free_random,1.75,0.0,0.0
scale_free_random,1.75,0.25,0.9438576923076922
scale_free_random,1.75,0.5,0.9165727884615386
scale_free_random,1.75,0.75,0.940891826923077
scale_free_random,1.75,1.0,0.96353125
scale_free_random,2.0,-1.0,0.0
scale_free_random,2.0,-0.75,0.0
scale_free_random,2.0,-0.5,0.0
scale_free_random,2.0,-0.25,0.0
scale_free_random,2.0,0.0,0.0
scale_free_random,2.0,0.25,0.39187009615384616
scale_free_random,2.0,0.5,0.6935290384615382
scale_free_random,2.0,0.75,0.7877000961538461
scale_free_random,2.0,1.0,0.9212015384615385
scale_free_ba,0.0,-1.0,0.5
scale_free_ba,0.0,-0.75,0.87
scale_free_ba,0.0,-0.5,1.0
scale_free_ba,0.0,-0.25,1.0
scale_free_ba,0.0,0.0,1.0
scale_free_ba,0.0,0.25,1.0
scale_free_ba,0.0,0.5,1.0
scale_free_ba,0.0,0.75,1.0
scale_free_ba,0.0,1.0,1.0
scale_free_ba,0.25,-1.0,0.18
scale_free_ba,0.25,-0.75,0.54
scale_free_ba,0.25,-0.5,0.91
scale_free_ba,0.25,-0.25,1.0
scale_free_ba,0.25,0.0,1.0
scale_free_ba,0.25,0.25,1.0
scale_free_ba,0.25,0.5,1.0
scale_free_ba,0.25,0.75,1.0
scale_free_ba,0.25,1.0,1.0
scale_free_ba,0.5,-1.0,0.01
scale_free_ba,0.5,-0.75,0.09
scale_free_ba,0.5,-0.5,0.59
scale_free_ba,0.5,-0.25,1.0
scale_free_ba,0.5,0.0,1.0
scale_free_ba,0.5,0.25,1.0
scale_free_ba,0.5,0.5,1.0
scale_free_ba,0.5,0.75,1.0
scale_free_ba,0.5,1.0,1.0
scale_free_ba,0.75,-1.0,0.0
scale_free_ba,0.75,-0.75,0.01
scale_free_ba,0.75,-0.5,0.13
scale_free_ba,0.75,-0.25,0.82
scale_free_ba,0.75,0.0,1.0
scale_free_ba,0.75,0.25,1.0
scale_free_ba,0.75,0.5,0.9988772115384615
scale_free_ba,0.75,0.75,1.0
scale_free_ba,0.75,1.0,1.0
scale_free_ba,1.0,-1.0,0.0
scale_free_ba,1.0,-0.75,0.0
scale_free_ba,1.0,-0.5,0.01
scale_free_ba,1.0,-0.25,0.31
scale_free_ba,1.0,0.0,1.0
scale_free_ba,1.0,0.25,0.9833743269230769
scale_free_ba,1.0,0.5,0.9507218269230768
scale_free_ba,1.0,0.75,0.9912749038461538
scale_free_ba,1.0,1.0,1.0
scale_free_ba,1.25,-1.0,0.0
scale_free_ba,1.25,-0.75,0.0
scale_free_ba,1.25,-0.5,0.0
scale_free_ba,1.25,-0.25,0.05
scale_free_ba,1.25,0.0,0.96
scale_free_ba,1.25,0.25,0.9791905769230769
scale_free_ba,1.25,0.5,0.9966721153846154
scale_free_ba,1.25,0.75,0.9647208653846152
scale_free_ba,1.25,1.0,0.9826543269230769
scale_free_ba,1.5,-1.0,0.0
scale_free_ba,1.5,-0.75,0.0
scale_free_ba,1.5,-0.5,0.0
scale_free_ba,1.5,-0.25,0.0
scale_free_ba,1.5,0.0,0.35
scale_free_ba,1.5,0.25,0.9288754807692308
scale_free_ba,1.5,0.5,0.9749974038461537
scale_free_ba,1.5,0.75,0.9576791346153847
scale_free_ba,1.5,1.0,0.942796923076923
scale_free_ba,1.75,-1.0,0.0
scale_free_ba,1.75,-0.75,0.0
scale_free_ba,1.75,-0.5,0.0
scale_free_ba,1.75,-0.25,0.0
scale_free_ba,1.75,0.0,0.0
scale_free_ba,1.75,0.25,0.8021821153846157
scale_free_ba,1.75,0.5,0.9783787499999999
scale_free_ba,1.75,0.75,0.9584985576923077
scale_free_ba,1.75,1.0,0.9954102884615385
scale_free_ba,2.0,-1.0,0.0
scale_free_ba,2.0,-0.75,0.0
scale_free_ba,2.0,-0.5,0.0
scale_free_ba,2.0,-0.25,0.0
scale_free_ba,2.0,0.0,0.000576923076923079
scale_free_ba,2.0,0.25,0.43691201923076933
scale_free_ba,2.0,0.5,0.5616048076923078
scale_free_ba,2.0,0.75,0.8353376923076923
scale_free_ba,2.0,1.0,0.9235670192307691
